eufield,repfield,expunt,year,trt,spec,time,GDD,rep,run,site,siteyear,injury,count,biomass,biopercent,biored 
checkarl18c,4,28,2018,check,rye,10,191,3,1,arl,Arlington 2018,30,4,0.22,100,
checkarl18d,1,29,2018,check,rad,10,191,4,1,arl,Arlington 2018,30,4,0.39,100,
checkarl18d,2,30,2018,check,fox,10,191,4,1,arl,Arlington 2018,35,3,0.16,100,
checkarl18d,3,31,2018,check,pal,10,191,4,1,arl,Arlington 2018,20,6,0.27,100,
checkarl18d,4,32,2018,check,rye,10,191,4,1,arl,Arlington 2018,25,4,0.14,100,
checkarl18a,1,33,2018,check,rad,20,374,1,1,arl,Arlington 2018,30,2,0.14,100,
checkarl18a,2,34,2018,check,fox,20,374,1,1,arl,Arlington 2018,20,4,0.05,100,
checkarl18a,3,35,2018,check,pal,20,374,1,1,arl,Arlington 2018,40,8,0.12,100,
checkarl18a,4,36,2018,check,rye,20,374,1,1,arl,Arlington 2018,30,2,0.08,100,
checkarl18b,1,37,2018,check,rad,20,374,2,1,arl,Arlington 2018,5,5,0.4,100,
checkarl18b,2,38,2018,check,fox,20,374,2,1,arl,Arlington 2018,,,,,
checkarl18b,3,39,2018,check,pal,20,374,2,1,arl,Arlington 2018,20,9,0.24,100,
checkarl18b,4,40,2018,check,rye,20,374,2,1,arl,Arlington 2018,10,4,0.14,100,
checkarl18c,1,41,2018,check,rad,20,374,3,1,arl,Arlington 2018,20,4,0.38,100,
checkarl18c,2,42,2018,check,fox,20,374,3,1,arl,Arlington 2018,5,2,0.14,100,
checkarl18c,3,43,2018,check,pal,20,374,3,1,arl,Arlington 2018,90,3,0.12,100,
checkarl18c,4,44,2018,check,rye,20,374,3,1,arl,Arlington 2018,85,3,0.1,100,
checkarl18d,1,45,2018,check,rad,20,374,4,1,arl,Arlington 2018,25,5,0.42,100,
checkarl18d,2,46,2018,check,fox,20,374,4,1,arl,Arlington 2018,10,6,0.3,100,
checkarl18d,3,47,2018,check,pal,20,374,4,1,arl,Arlington 2018,30,5,0.19,100,
checkarl18d,4,48,2018,check,rye,20,374,4,1,arl,Arlington 2018,5,4,0.18,100,
checkarl18a,1,49,2018,check,rad,30,559,1,1,arl,Arlington 2018,0,,0.49,100,
checkarl18a,2,50,2018,check,fox,30,559,1,1,arl,Arlington 2018,,,,,
checkarl18a,3,51,2018,check,pal,30,559,1,1,arl,Arlington 2018,0,,0.34,100,
checkarl18a,4,52,2018,check,rye,30,559,1,1,arl,Arlington 2018,0,,0.24,100,
checkarl18b,1,53,2018,check,rad,30,559,2,1,arl,Arlington 2018,60,4,0.58,100,
checkarl18b,2,54,2018,check,fox,30,559,2,1,arl,Arlington 2018,55,3,0.35,100,
checkarl18b,3,55,2018,check,pal,30,559,2,1,arl,Arlington 2018,70,7,0.31,100,
checkarl18b,4,56,2018,check,rye,30,559,2,1,arl,Arlington 2018,65,3,0.27,100,
checkarl18c,1,57,2018,check,rad,30,559,3,1,arl,Arlington 2018,10,5,0.61,100,
checkarl18c,2,58,2018,check,fox,30,559,3,1,arl,Arlington 2018,5,1,0.23,100,
checkarl18c,3,59,2018,check,pal,30,559,3,1,arl,Arlington 2018,5,30,0.53,100,
checkarl18c,4,60,2018,check,rye,30,559,3,1,arl,Arlington 2018,5,3,0.25,100,
checkarl18d,1,61,2018,check,rad,30,559,4,1,arl,Arlington 2018,30,4,0.64,100,
checkarl18d,2,62,2018,check,fox,30,559,4,1,arl,Arlington 2018,15,4,0.27,100,
checkarl18d,3,63,2018,check,pal,30,559,4,1,arl,Arlington 2018,55,4,0.12,100,
checkarl18d,4,64,2018,check,rye,30,559,4,1,arl,Arlington 2018,50,4,0.19,100,
checkarl18a,1,65,2018,check,rad,40,739,1,1,arl,Arlington 2018,5,3,0.27,100,
checkarl18a,2,66,2018,check,fox,40,739,1,1,arl,Arlington 2018,80,2,0.01,100,
checkarl18a,3,67,2018,check,pal,40,739,1,1,arl,Arlington 2018,60,4,0.05,100,
checkarl18a,4,68,2018,check,rye,40,739,1,1,arl,Arlington 2018,40,2,0.07,100,
checkarl18b,1,69,2018,check,rad,40,739,2,1,arl,Arlington 2018,0,5,0.71,100,
checkarl18b,2,70,2018,check,fox,40,739,2,1,arl,Arlington 2018,0,2,0.34,100,
checkarl18b,3,71,2018,check,pal,40,739,2,1,arl,Arlington 2018,0,18,0.33,100,
checkarl18b,4,72,2018,check,rye,40,739,2,1,arl,Arlington 2018,0,4,0.26,100,
checkarl18c,1,73,2018,check,rad,40,739,3,1,arl,Arlington 2018,10,3,0.45,100,
checkarl18c,2,74,2018,check,fox,40,739,3,1,arl,Arlington 2018,5,3,0.42,100,
checkarl18c,3,75,2018,check,pal,40,739,3,1,arl,Arlington 2018,10,3,0.19,100,
checkarl18c,4,76,2018,check,rye,40,739,3,1,arl,Arlington 2018,5,3,0.19,100,
checkarl18d,1,77,2018,check,rad,40,739,4,1,arl,Arlington 2018,5,5,0.61,100,
checkarl18d,2,78,2018,check,fox,40,739,4,1,arl,Arlington 2018,10,5,0.24,100,
checkarl18d,3,79,2018,check,pal,40,739,4,1,arl,Arlington 2018,,,,,
checkarl18d,4,80,2018,check,rye,40,739,4,1,arl,Arlington 2018,20,4,0.22,100,
checkarl18a,1,81,2018,check,rad,50,930,1,1,arl,Arlington 2018,0,5,0.65,100,
checkarl18a,2,82,2018,check,fox,50,930,1,1,arl,Arlington 2018,0,3,0.2,100,
checkarl18a,3,83,2018,check,pal,50,930,1,1,arl,Arlington 2018,0,8,0.63,100,
checkarl18a,4,84,2018,check,rye,50,930,1,1,arl,Arlington 2018,0,1,0.29,100,
checkarl18b,1,85,2018,check,rad,50,930,2,1,arl,Arlington 2018,5,4,0.62,100,
checkarl18b,2,86,2018,check,fox,50,930,2,1,arl,Arlington 2018,90,1,0.01,100,
checkarl18b,3,87,2018,check,pal,50,930,2,1,arl,Arlington 2018,,,,,
checkarl18b,4,88,2018,check,rye,50,930,2,1,arl,Arlington 2018,20,4,0.15,100,
checkarl18c,1,89,2018,check,rad,50,930,3,1,arl,Arlington 2018,5,4,0.5,100,
checkarl18c,2,90,2018,check,fox,50,930,3,1,arl,Arlington 2018,5,1,0.03,100,
checkarl18c,3,91,2018,check,pal,50,930,3,1,arl,Arlington 2018,10,11,0.32,100,
checkarl18c,4,92,2018,check,rye,50,930,3,1,arl,Arlington 2018,5,5,0.17,100,
checkarl18d,1,93,2018,check,rad,50,930,4,1,arl,Arlington 2018,40,3,0.3,100,
checkarl18d,2,94,2018,check,fox,50,930,4,1,arl,Arlington 2018,80,1,0.01,100,
checkarl18d,3,95,2018,check,pal,50,930,4,1,arl,Arlington 2018,85,3,0.04,100,
checkarl18d,4,96,2018,check,rye,50,930,4,1,arl,Arlington 2018,20,5,0.2,100,
pursarl18a,1,97,2018,purs,rad,0,0,1,1,arl,Arlington 2018,95,5,0.23,46.70050761,53.29949239
pursarl18a,2,98,2018,purs,fox,0,0,1,1,arl,Arlington 2018,100,0,0,0,100
pursarl18a,3,99,2018,purs,pal,0,0,1,1,arl,Arlington 2018,92,3,0.06,31.57894737,68.42105263
pursarl18a,4,100,2018,purs,rye,0,0,1,1,arl,Arlington 2018,93,2,0.03,13.63636364,86.36363636
pursarl18b,1,101,2018,purs,rad,0,0,2,1,arl,Arlington 2018,100,5,0.17,34.5177665,65.4822335
pursarl18b,2,102,2018,purs,fox,0,0,2,1,arl,Arlington 2018,100,0,0,0,100
pursarl18b,3,103,2018,purs,pal,0,0,2,1,arl,Arlington 2018,95,8,0.02,10.52631579,89.47368421
pursarl18b,4,104,2018,purs,rye,0,0,2,1,arl,Arlington 2018,95,2,0.05,22.72727273,77.27272727
pursarl18c,1,105,2018,purs,rad,0,0,3,1,arl,Arlington 2018,100,3,0.2,40.60913706,59.39086294
pursarl18c,2,106,2018,purs,fox,0,0,3,1,arl,Arlington 2018,100,0,0,0,100
pursarl18c,3,107,2018,purs,pal,0,0,3,1,arl,Arlington 2018,90,1,0.17,89.47368421,10.52631579
pursarl18c,4,108,2018,purs,rye,0,0,3,1,arl,Arlington 2018,99,4,0.23,100,0
pursarl18d,1,109,2018,purs,rad,0,0,4,1,arl,Arlington 2018,99,1,0.13,26.39593909,73.60406091
pursarl18d,2,110,2018,purs,fox,0,0,4,1,arl,Arlington 2018,100,0,0,0,100
pursarl18d,3,111,2018,purs,pal,0,0,4,1,arl,Arlington 2018,95,5,0.06,31.57894737,68.42105263
pursarl18d,4,112,2018,purs,rye,0,0,4,1,arl,Arlington 2018,93,2,0.03,13.63636364,86.36363636
pursarl18a,1,113,2018,purs,rad,10,191,1,1,arl,Arlington 2018,97,4,0.17,32.69230769,67.30769231
pursarl18a,2,114,2018,purs,fox,10,191,1,1,arl,Arlington 2018,98,5,0.06,33.8028169,66.1971831
pursarl18a,3,115,2018,purs,pal,10,191,1,1,arl,Arlington 2018,95,4,0.05,20.83333333,79.16666667
pursarl18a,4,116,2018,purs,rye,10,191,1,1,arl,Arlington 2018,85,3,0.08,54.23728814,45.76271186
pursarl18b,1,117,2018,purs,rad,10,191,2,1,arl,Arlington 2018,80,4,0.28,53.84615385,46.15384615
pursarl18b,2,118,2018,purs,fox,10,191,2,1,arl,Arlington 2018,98,3,0.03,16.90140845,83.09859155
pursarl18b,3,119,2018,purs,pal,10,191,2,1,arl,Arlington 2018,95,15,0.11,45.83333333,54.16666667
pursarl18b,4,120,2018,purs,rye,10,191,2,1,arl,Arlington 2018,85,4,0.17,100,0
pursarl18c,1,121,2018,purs,rad,10,191,3,1,arl,Arlington 2018,90,4,0.44,84.61538462,15.38461538
pursarl18c,2,122,2018,purs,fox,10,191,3,1,arl,Arlington 2018,90,6,0.07,39.43661972,60.56338028
pursarl18c,3,123,2018,purs,pal,10,191,3,1,arl,Arlington 2018,100,0,0,0,100
pursarl18c,4,124,2018,purs,rye,10,191,3,1,arl,Arlington 2018,85,5,0.39,100,0
pursarl18d,1,125,2018,purs,rad,10,191,4,1,arl,Arlington 2018,80,5,0.27,51.92307692,48.07692308
pursarl18d,2,126,2018,purs,fox,10,191,4,1,arl,Arlington 2018,90,5,0.11,61.97183099,38.02816901
pursarl18d,3,127,2018,purs,pal,10,191,4,1,arl,Arlington 2018,85,15,0.08,33.33333333,66.66666667
pursarl18d,4,128,2018,purs,rye,10,191,4,1,arl,Arlington 2018,70,5,0.17,100,0
pursarl18a,1,129,2018,purs,rad,20,374,1,1,arl,Arlington 2018,92,5,0.25,74.62686567,25.37313433
pursarl18a,2,130,2018,purs,fox,20,374,1,1,arl,Arlington 2018,95,5,0.04,24.48979592,75.51020408
pursarl18a,3,131,2018,purs,pal,20,374,1,1,arl,Arlington 2018,95,3,0.03,17.91044776,82.08955224
pursarl18a,4,132,2018,purs,rye,20,374,1,1,arl,Arlington 2018,80,4,0.13,100,0
pursarl18b,1,133,2018,purs,rad,20,374,2,1,arl,Arlington 2018,80,4,0.35,100,0
pursarl18b,2,134,2018,purs,fox,20,374,2,1,arl,Arlington 2018,65,5,0.19,100,0
pursarl18b,3,135,2018,purs,pal,20,374,2,1,arl,Arlington 2018,80,7,0.36,100,0
pursarl18b,4,136,2018,purs,rye,20,374,2,1,arl,Arlington 2018,75,3,0.18,100,0
pursarl18c,1,137,2018,purs,rad,20,374,3,1,arl,Arlington 2018,40,5,0.45,100,0
pursarl18c,2,138,2018,purs,fox,20,374,3,1,arl,Arlington 2018,98,1,0.02,12.24489796,87.75510204
pursarl18c,3,139,2018,purs,pal,20,374,3,1,arl,Arlington 2018,85,4,0.29,100,0
pursarl18c,4,140,2018,purs,rye,20,374,3,1,arl,Arlington 2018,70,3,0.21,100,0
pursarl18d,1,141,2018,purs,rad,20,374,4,1,arl,Arlington 2018,85,5,0.28,83.58208955,16.41791045
pursarl18d,2,142,2018,purs,fox,20,374,4,1,arl,Arlington 2018,90,4,0.05,30.6122449,69.3877551
pursarl18d,3,143,2018,purs,pal,20,374,4,1,arl,Arlington 2018,100,0,0,0,100
pursarl18d,4,144,2018,purs,rye,20,374,4,1,arl,Arlington 2018,80,3,0.17,100,0
pursarl18a,1,145,2018,purs,rad,30,559,1,1,arl,Arlington 2018,45,5,0.38,65.51724138,34.48275862
pursarl18a,2,146,2018,purs,fox,30,559,1,1,arl,Arlington 2018,100,0,0,0,100
pursarl18a,3,147,2018,purs,pal,30,559,1,1,arl,Arlington 2018,85,2,0.27,83.07692308,16.92307692
pursarl18a,4,148,2018,purs,rye,30,559,1,1,arl,Arlington 2018,40,4,0.21,88.42105263,11.57894737
pursarl18b,1,149,2018,purs,rad,30,559,2,1,arl,Arlington 2018,65,3,0.54,93.10344828,6.896551724
pursarl18b,2,150,2018,purs,fox,30,559,2,1,arl,Arlington 2018,80,4,0.1,35.29411765,64.70588235
pursarl18b,3,151,2018,purs,pal,30,559,2,1,arl,Arlington 2018,80,10,0.22,67.69230769,32.30769231
pursarl18b,4,152,2018,purs,rye,30,559,2,1,arl,Arlington 2018,78,5,0.3,100,0
pursarl18c,1,153,2018,purs,rad,30,559,3,1,arl,Arlington 2018,80,5,0.48,82.75862069,17.24137931
pursarl18c,2,154,2018,purs,fox,30,559,3,1,arl,Arlington 2018,85,4,0.13,45.88235294,54.11764706
pursarl18c,3,155,2018,purs,pal,30,559,3,1,arl,Arlington 2018,78,9,0.59,100,0
pursarl18c,4,156,2018,purs,rye,30,559,3,1,arl,Arlington 2018,65,4,0.31,100,0
pursarl18d,1,157,2018,purs,rad,30,559,4,1,arl,Arlington 2018,50,5,0.36,62.06896552,37.93103448
pursarl18d,2,158,2018,purs,fox,30,559,4,1,arl,Arlington 2018,90,1,0.01,3.529411765,96.47058824
pursarl18d,3,159,2018,purs,pal,30,559,4,1,arl,Arlington 2018,45,14,0.35,100,0
pursarl18d,4,160,2018,purs,rye,30,559,4,1,arl,Arlington 2018,65,4,0.21,88.42105263,11.57894737
pursarl18a,1,161,2018,purs,rad,40,739,1,1,arl,Arlington 2018,65,3,0.21,41.17647059,58.82352941
pursarl18a,2,162,2018,purs,fox,40,739,1,1,arl,Arlington 2018,97,3,0.01,3.96039604,96.03960396
pursarl18a,3,163,2018,purs,pal,40,739,1,1,arl,Arlington 2018,85,7,0.11,57.89473684,42.10526316
pursarl18a,4,164,2018,purs,rye,40,739,1,1,arl,Arlington 2018,60,4,0.11,59.45945946,40.54054054
pursarl18b,1,165,2018,purs,rad,40,739,2,1,arl,Arlington 2018,75,5,0.58,100,0
pursarl18b,2,166,2018,purs,fox,40,739,2,1,arl,Arlington 2018,80,2,0.11,43.56435644,56.43564356
pursarl18b,3,167,2018,purs,pal,40,739,2,1,arl,Arlington 2018,100,0,0,0,100
pursarl18b,4,168,2018,purs,rye,40,739,2,1,arl,Arlington 2018,,,,,
pursarl18c,1,169,2018,purs,rad,40,739,3,1,arl,Arlington 2018,65,5,0.47,92.15686275,7.843137255
pursarl18c,2,170,2018,purs,fox,40,739,3,1,arl,Arlington 2018,100,0,0,0,100
pursarl18c,3,171,2018,purs,pal,40,739,3,1,arl,Arlington 2018,78,9,0.42,100,0
pursarl18c,4,172,2018,purs,rye,40,739,3,1,arl,Arlington 2018,70,4,0.24,100,0
pursarl18d,1,173,2018,purs,rad,40,739,4,1,arl,Arlington 2018,65,4,0.38,74.50980392,25.49019608
pursarl18d,2,174,2018,purs,fox,40,739,4,1,arl,Arlington 2018,70,4,0.08,31.68316832,68.31683168
pursarl18d,3,175,2018,purs,pal,40,739,4,1,arl,Arlington 2018,85,2,0.08,42.10526316,57.89473684
pursarl18d,4,176,2018,purs,rye,40,739,4,1,arl,Arlington 2018,70,5,0.15,81.08108108,18.91891892
pursarl18a,1,177,2018,purs,rad,50,930,1,1,arl,Arlington 2018,30,4,0.57,100,0
pursarl18a,2,178,2018,purs,fox,50,930,1,1,arl,Arlington 2018,85,1,0.01,16,84
pursarl18a,3,179,2018,purs,pal,50,930,1,1,arl,Arlington 2018,80,4,0.36,100,0
pursarl18a,4,180,2018,purs,rye,50,930,1,1,arl,Arlington 2018,55,4,0.24,100,0
pursarl18b,1,181,2018,purs,rad,50,930,2,1,arl,Arlington 2018,65,5,0.58,100,0
pursarl18b,2,182,2018,purs,fox,50,930,2,1,arl,Arlington 2018,93,3,0.05,80,20
pursarl18b,3,183,2018,purs,pal,50,930,2,1,arl,Arlington 2018,88,6,0.38,100,0
pursarl18b,4,184,2018,purs,rye,50,930,2,1,arl,Arlington 2018,90,3,0.12,59.25925926,40.74074074
pursarl18c,1,185,2018,purs,rad,50,930,3,1,arl,Arlington 2018,80,2,0.61,100,0
pursarl18c,2,186,2018,purs,fox,50,930,3,1,arl,Arlington 2018,45,5,0.34,100,0
pursarl18c,3,187,2018,purs,pal,50,930,3,1,arl,Arlington 2018,70,3,0.33,100,0
pursarl18c,4,188,2018,purs,rye,50,930,3,1,arl,Arlington 2018,65,4,0.3,100,0
pursarl18d,1,189,2018,purs,rad,50,930,4,1,arl,Arlington 2018,70,4,0.31,59.90338164,40.09661836
pursarl18d,2,190,2018,purs,fox,50,930,4,1,arl,Arlington 2018,65,7,0.22,100,0
pursarl18d,3,191,2018,purs,pal,50,930,4,1,arl,Arlington 2018,80,3,0.07,21.21212121,78.78787879
pursarl18d,4,192,2018,purs,rye,50,930,4,1,arl,Arlington 2018,55,5,0.3,100,0
clasarl18a,1,193,2018,clas,rad,0,0,1,1,arl,Arlington 2018,95,3,0.14,28.42639594,71.57360406
clasarl18a,2,194,2018,clas,fox,0,0,1,1,arl,Arlington 2018,96,4,0.06,28.125,71.875
clasarl18a,3,195,2018,clas,pal,0,0,1,1,arl,Arlington 2018,65,35,0.39,100,0
clasarl18a,4,196,2018,clas,rye,0,0,1,1,arl,Arlington 2018,60,4,0.24,100,0
clasarl18b,1,197,2018,clas,rad,0,0,2,1,arl,Arlington 2018,90,4,0.18,36.54822335,63.45177665
clasarl18b,2,198,2018,clas,fox,0,0,2,1,arl,Arlington 2018,93,4,0.03,14.0625,85.9375
clasarl18b,3,199,2018,clas,pal,0,0,2,1,arl,Arlington 2018,100,0,0,0,100
clasarl18b,4,200,2018,clas,rye,0,0,2,1,arl,Arlington 2018,91,3,0.17,77.27272727,22.72727273
clasarl18c,1,201,2018,clas,rad,0,0,3,1,arl,Arlington 2018,90,4,0.18,36.54822335,63.45177665
clasarl18c,2,202,2018,clas,fox,0,0,3,1,arl,Arlington 2018,98,2,0.02,9.375,90.625
clasarl18c,3,203,2018,clas,pal,0,0,3,1,arl,Arlington 2018,85,5,0.38,100,0
clasarl18c,4,204,2018,clas,rye,0,0,3,1,arl,Arlington 2018,90,3,0.19,86.36363636,13.63636364
clasarl18d,1,205,2018,clas,rad,0,0,4,1,arl,Arlington 2018,95,3,0.14,28.42639594,71.57360406
clasarl18d,2,206,2018,clas,fox,0,0,4,1,arl,Arlington 2018,97,3,0.04,18.75,81.25
clasarl18d,3,207,2018,clas,pal,0,0,4,1,arl,Arlington 2018,100,0,0,0,100
clasarl18d,4,208,2018,clas,rye,0,0,4,1,arl,Arlington 2018,80,5,0.27,100,0
clasarl18a,1,209,2018,clas,rad,10,191,1,1,arl,Arlington 2018,96,4,0.16,30.76923077,69.23076923
clasarl18a,2,210,2018,clas,fox,10,191,1,1,arl,Arlington 2018,98,2,0.02,11.26760563,88.73239437
clasarl18a,3,211,2018,clas,pal,10,191,1,1,arl,Arlington 2018,99,2,0.12,50,50
clasarl18a,4,212,2018,clas,rye,10,191,1,1,arl,Arlington 2018,,,,0,
clasarl18b,1,213,2018,clas,rad,10,191,2,1,arl,Arlington 2018,85,4,0.22,42.30769231,57.69230769
clasarl18b,2,214,2018,clas,fox,10,191,2,1,arl,Arlington 2018,85,5,0.06,33.8028169,66.1971831
clasarl18b,3,215,2018,clas,pal,10,191,2,1,arl,Arlington 2018,88,12,0.07,29.16666667,70.83333333
clasarl18b,4,216,2018,clas,rye,10,191,2,1,arl,Arlington 2018,90,2,0.1,67.79661017,32.20338983
clasarl18c,1,217,2018,clas,rad,10,191,3,1,arl,Arlington 2018,90,5,0.19,36.53846154,63.46153846
clasarl18c,2,218,2018,clas,fox,10,191,3,1,arl,Arlington 2018,90,3,0.04,22.53521127,77.46478873
clasarl18c,3,219,2018,clas,pal,10,191,3,1,arl,Arlington 2018,75,9,0.22,91.66666667,8.333333333
clasarl18c,4,220,2018,clas,rye,10,191,3,1,arl,Arlington 2018,80,3,0.17,100,0
clasarl18d,1,221,2018,clas,rad,10,191,4,1,arl,Arlington 2018,95,3,0.17,32.69230769,67.30769231
clasarl18d,2,222,2018,clas,fox,10,191,4,1,arl,Arlington 2018,94,3,0.04,22.53521127,77.46478873
clasarl18d,3,223,2018,clas,pal,10,191,4,1,arl,Arlington 2018,70,17,0.3,100,0
clasarl18d,4,224,2018,clas,rye,10,191,4,1,arl,Arlington 2018,65,5,0.33,100,0
clasarl18a,1,225,2018,clas,rad,20,374,1,1,arl,Arlington 2018,80,5,0.23,68.65671642,31.34328358
clasarl18a,2,226,2018,clas,fox,20,374,1,1,arl,Arlington 2018,85,8,0.07,42.85714286,57.14285714
clasarl18a,3,227,2018,clas,pal,20,374,1,1,arl,Arlington 2018,70,7,0.41,100,0
clasarl18a,4,228,2018,clas,rye,20,374,1,1,arl,Arlington 2018,65,5,0.3,100,0
clasarl18b,1,229,2018,clas,rad,20,374,2,1,arl,Arlington 2018,90,4,0.18,53.73134328,46.26865672
clasarl18b,2,230,2018,clas,fox,20,374,2,1,arl,Arlington 2018,100,0,0,0,100
clasarl18b,3,231,2018,clas,pal,20,374,2,1,arl,Arlington 2018,95,2,0.15,89.55223881,10.44776119
clasarl18b,4,232,2018,clas,rye,20,374,2,1,arl,Arlington 2018,90,4,0.18,100,0
clasarl18c,1,233,2018,clas,rad,20,374,3,1,arl,Arlington 2018,95,3,0.17,50.74626866,49.25373134
clasarl18c,2,234,2018,clas,fox,20,374,3,1,arl,Arlington 2018,93,4,0.05,30.6122449,69.3877551
clasarl18c,3,235,2018,clas,pal,20,374,3,1,arl,Arlington 2018,88,7,0.44,100,0
clasarl18c,4,236,2018,clas,rye,20,374,3,1,arl,Arlington 2018,80,4,0.34,100,0
clasarl18d,1,237,2018,clas,rad,20,374,4,1,arl,Arlington 2018,95,2,0.11,32.8358209,67.1641791
clasarl18d,2,238,2018,clas,fox,20,374,4,1,arl,Arlington 2018,96,1,0.02,12.24489796,87.75510204
clasarl18d,3,239,2018,clas,pal,20,374,4,1,arl,Arlington 2018,70,23,0.27,100,0
clasarl18d,4,240,2018,clas,rye,20,374,4,1,arl,Arlington 2018,65,4,0.21,100,0
clasarl18a,1,241,2018,clas,rad,30,559,1,1,arl,Arlington 2018,85,5,0.18,31.03448276,68.96551724
clasarl18a,2,242,2018,clas,fox,30,559,1,1,arl,Arlington 2018,70,4,0.1,35.29411765,64.70588235
clasarl18a,3,243,2018,clas,pal,30,559,1,1,arl,Arlington 2018,60,30,0.46,100,0
clasarl18a,4,244,2018,clas,rye,30,559,1,1,arl,Arlington 2018,50,3,0.21,88.42105263,11.57894737
clasarl18b,1,245,2018,clas,rad,30,559,2,1,arl,Arlington 2018,85,5,0.37,63.79310345,36.20689655
clasarl18b,2,246,2018,clas,fox,30,559,2,1,arl,Arlington 2018,95,4,0.05,17.64705882,82.35294118
clasarl18b,3,247,2018,clas,pal,30,559,2,1,arl,Arlington 2018,92,18,0.25,76.92307692,23.07692308
clasarl18b,4,248,2018,clas,rye,30,559,2,1,arl,Arlington 2018,90,4,0.22,92.63157895,7.368421053
clasarl18c,1,249,2018,clas,rad,30,559,3,1,arl,Arlington 2018,90,4,0.21,36.20689655,63.79310345
clasarl18c,2,250,2018,clas,fox,30,559,3,1,arl,Arlington 2018,90,7,0.12,42.35294118,57.64705882
clasarl18c,3,251,2018,clas,pal,30,559,3,1,arl,Arlington 2018,88,6,0.26,80,20
clasarl18c,4,252,2018,clas,rye,30,559,3,1,arl,Arlington 2018,90,4,0.1,42.10526316,57.89473684
clasarl18d,1,253,2018,clas,rad,30,559,4,1,arl,Arlington 2018,70,4,0.34,58.62068966,41.37931034
clasarl18d,2,254,2018,clas,fox,30,559,4,1,arl,Arlington 2018,85,4,0.04,14.11764706,85.88235294
clasarl18d,3,255,2018,clas,pal,30,559,4,1,arl,Arlington 2018,60,10,0.29,89.23076923,10.76923077
clasarl18d,4,256,2018,clas,rye,30,559,4,1,arl,Arlington 2018,55,4,0.15,63.15789474,36.84210526
clasarl18a,1,257,2018,clas,rad,40,739,1,1,arl,Arlington 2018,75,5,0.38,74.50980392,25.49019608
clasarl18a,2,258,2018,clas,fox,40,739,1,1,arl,Arlington 2018,60,7,0.08,31.68316832,68.31683168
clasarl18a,3,259,2018,clas,pal,40,739,1,1,arl,Arlington 2018,65,2,0.18,94.73684211,5.263157895
clasarl18a,4,260,2018,clas,rye,40,739,1,1,arl,Arlington 2018,50,2,0.11,59.45945946,40.54054054
clasarl18b,1,261,2018,clas,rad,40,739,2,1,arl,Arlington 2018,80,5,0.41,80.39215686,19.60784314
